# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
--job 308.0 1589.5 1519.2236 0.9557871 0.9557871
--job 71.66406 333.90622 303.5063 0.90895665 0.90895665
--job 2784.375 3314.125 3213.5903 0.9696648 0.9696648
--job 10189.1875 14079.6875 13935.584 0.98976517 0.98976517
--job 356.75 1390.75 1329.2623 0.95578814 0.95578814
--job 239.375 603.125 557.52203 0.9243889 0.9243889
--job 694.6875 1613.25 1554.0684 0.96331525 0.96331525
--job 22.5 289.0 267.0227 0.923954 0.923954
--job 455.25 590.75 565.22266 0.95678824 0.95678824
--job 9295.3125 10855.5625 10686.056 0.98438525 0.98438525
--job 426.38477 1742.2734 1646.5347 0.9450495 0.9450495
--job 147.4375 1438.375 1367.2823 0.95057434 0.95057434
--job 1313.2773 12754.34 12566.932 0.9853063 0.9853063
--job 2967.0 6787.0 6687.046 0.9852727 0.9852727
--job 318.75 3460.75 3376.7083 0.97571576 0.97571576
--job 136.95312 488.35938 460.11725 0.94216937 0.94216937
--job 115.625 469.25 439.6026 0.9368196 0.9368196
--job 11.125 91.25 81.249146 0.8904016 0.8904016
--job 275.375 2002.875 1949.055 0.9731287 0.9731287
--job 1380.4922 4736.617 4654.6704 0.9826993 0.9826993
--job 80.625 120.625 104.95691 0.8701091 0.8701091
--job 154.5 380.25 360.01294 0.9467796 0.9467796
--job 461.625 14222.375 14000.048 0.9843678 0.9843678
=pc 8 5905.209 13289.464 13170.768 0.958239 0.8751451
--job 673.0 1527.75 1472.9038 0.9641 0.9641
--job 179.875 1533.4062 1470.2131 0.95878905 0.95878905
--job 424.5 2574.75 2503.3047 0.97225153 0.97225153
--job 213.875 305.875 280.30853 0.91641533 0.91641533
--job 238.89844 510.97656 472.43225 0.92456734 0.92456734
--job 931.2969 4319.3594 4237.326 0.981008 0.981008
--job 1589.8438 5049.25 4941.81 0.9787216 0.9787216
--job 103453.25 266243.5 265374.28 0.9967353 0.9967353
--job 115.8125 253.0625 231.48152 0.9147208 0.9147208
--job 744.375 815.625 774.39404 0.94944865 0.94944865
--job 5389.7188 8502.3125 8342.279 0.9811777 0.9811777
--job 649.625 1045.375 1001.735 0.9582542 0.9582542
--job 422.25 506.125 481.36047 0.9510703 0.9510703
--job 155.59375 424.71875 391.12225 0.92089707 0.92089707
--job 538.875 11165.75 11047.726 0.9894298 0.9894298
--job 108.5 803.25 752.38763 0.9366793 0.9366793
--job 1855.125 13182.25 13042.1875 0.98937494 0.98937494
--job 977.25 11711.0 11596.247 0.9902013 0.9902013
--job 446.25 954.25 904.8508 0.9482325 0.9482325
--job 106.359375 1027.3594 984.6955 0.9584723 0.9584723
--job 539.5625 1040.0 978.9254 0.94127446 0.94127446
--job 3668.75 12830.875 12659.021 0.98660624 0.98660624
--job 425.78125 4011.625 3900.92 0.97240394 0.97240394
--job 3253.125 5508.5 5426.3115 0.9850797 0.9850797
--job 76.71875 457.4375 423.46378 0.92573035 0.92573035
--job 4084.5 10456.5 10341.479 0.989 0.989
--job 887.5 3457.125 3386.155 0.9794714 0.9794714
--job 19.875 145.90625 127.68913 0.8751451 0.8751451
--job 349.9375 854.3125 821.3229 0.9613846 0.9613846
--job 416.4375 2876.25 2779.818 0.96647304 0.96647304
--job 732.4219 2435.9688 2340.826 0.9609425 0.9609425
--job 42.9375 308.02344 283.26334 0.91961616 0.91961616
--job 549.875 1019.5 974.38245 0.9557454 0.9557454
--job 5469.5 6136.125 6038.449 0.98408186 0.98408186
--job 369.875 689.75 655.8335 0.95082784 0.95082784
--job 86.0 155.5 142.6457 0.91733575 0.91733575
--job 1436.6875 3792.3125 3700.756 0.9758574 0.9758574
--job 1619.85 8702.625 8399.0205 0.96511346 0.96511346
--job 22.375 207.90625 186.49213 0.8970011 0.8970011
--job 2350.25 3800.125 3713.825 0.9772902 0.9772902
--job 20660.53 44308.28 43784.156 0.9881709 0.9881709
--job 3372.0 15314.5 15148.461 0.98915803 0.98915803
--job 712.5469 834.5469 803.9944 0.96339035 0.96339035
--job 40060.293 152142.05 151277.12 0.994315 0.994315
--job 547.0 4861.7344 4731.392 0.9731902 0.9731902
--job 41.039062 138.73438 121.733665 0.8774586 0.8774586
--job 611.125 5662.625 5575.5566 0.984624 0.984624
=pc 5 NaN NaN NaN NaN 1.0
